"group.all" "pa" "lon" "lat" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14"
"3910" 1 0 -66.4166666666667 -7.25 43.3782932422638 31.419750213623 333 46
"4010" 3 0 -59.5833333333333 -28.4166666666667 441.498807426333 31.7534999847412 146 32
"41" 1 0 -52.0833333333333 -22.9166666666667 267.911587511001 30.5262508392334 170 47
"42" 1 0 -52.25 -26.25 325.621923000152 26.5904998779297 219 127
"43" 3 0 -72.4166666666667 2.41666666666667 107.117746117651 33.0074996948242 377 16
"4410" 1 0 -53.0833333333333 -25.75 348.700061715975 28.7954998016357 229 107
"4510" 3 0 -42.0833333333333 -12.0833333333333 121.976440807381 28.0540008544922 119 3
"4610" 1 0 -76.75 -9.91666666666666 76.3035726084542 16.2000007629395 147 14
"4710" 1 0 -47.75 -8.75 67.1928294314342 32.8935012817383 270 3
"4810" 2 0 -60.5833333333333 1.08333333333334 54.1234151536999 32.6692504882812 369 59
"4910" 1 0 -49.0833333333333 -20.5833333333333 198.440696415782 31.7434997558594 240 12
"50" 1 0 -72.0833333333333 3.25 110.027760303101 32.5862503051758 400 18
"5110" 2 0 -55.4166666666667 -6.25 43.0319461803938 31.3127498626709 380 26
"52" 1 0 -42.9166666666667 -16.25 178.499090416652 29.1574993133545 213 5
"53" 2 0 -58.25 -3.08333333333333 60.0834285481763 32.4452514648438 321 63
"54" 1 0 -77.9166666666667 -7.08333333333333 27.1143642008713 23.6262493133545 143 20
"55" 1 0 -58.5833333333333 -21.5833333333333 310.858481283101 34.7952499389648 122 20
"56" 2 0 -70.9166666666667 -17.0833333333333 85.8391724827927 23.6000003814697 16 0
"57" 3 0 -52.5833333333333 -14.25 137.67866925754 33.9044990539551 264 2
"58" 2 0 -57.4166666666667 -23.75 344.105655145938 33.9647521972656 168 37
"59" 1 0 -50.4166666666667 -28.4166666666667 304.757341947036 25.0212497711182 151 104
"60" 1 0 -78.25 1.91666666666667 22.9402771706734 30.2542495727539 592 276
"61" 3 0 -69.0833333333333 -11.9166666666667 107.322328426514 31.5009994506836 269 36
